,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry
0,VIXW231101C00012000,2023-10-24 19:58:02+00:00,12.0,6.95,8.63,10.44,0.0,0.0,4.0,10.0,4.0234424707031256,True,REGULAR,USD,2023-11-01
1,VIXW231101C00012500,2023-10-27 18:51:26+00:00,12.5,9.41,8.13,9.94,4.04,75.23277,1.0,0.0,3.7812505468750004,True,REGULAR,USD,2023-11-01
2,VIXW231101C00013000,2023-10-13 17:37:44+00:00,13.0,6.65,5.31,5.89,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
3,VIXW231101C00013500,2023-10-11 19:34:41+00:00,13.5,3.61,7.12,8.95,0.0,0.0,2.0,2.0,3.3359391601562494,True,REGULAR,USD,2023-11-01
4,VIXW231101C00014000,2023-10-27 17:06:52+00:00,14.0,7.0,6.61,8.46,-0.6999998,-9.090907,52.0,123.0,3.1171897070312498,True,REGULAR,USD,2023-11-01
5,VIXW231101C00014500,2023-10-24 14:52:22+00:00,14.5,4.85,6.11,7.96,0.0,0.0,30.0,68.0,2.9140652148437503,True,REGULAR,USD,2023-11-01
6,VIXW231101C00015000,2023-10-27 18:28:01+00:00,15.0,6.95,5.61,7.47,1.2399998,21.716284,7.0,399.0,2.72656568359375,True,REGULAR,USD,2023-11-01
7,VIXW231101C00016000,2023-10-27 14:05:15+00:00,16.0,4.35,4.59,6.5,-0.6500001,-13.000003,1.0,206.0,2.3476603808593746,True,REGULAR,USD,2023-11-01
8,VIXW231101C00017000,2023-10-27 17:07:52+00:00,17.0,4.11,0.0,0.0,0.01999998,0.48899707,37.0,380.0,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
9,VIXW231101C00018000,2023-10-27 19:34:25+00:00,18.0,3.6,0.0,0.0,0.37999988,11.801238,614.0,2389.0,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
10,VIXW231101C00019000,2023-10-27 19:36:23+00:00,19.0,2.82,0.0,0.0,0.37999988,15.573766,76.0,1117.0,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
11,VIXW231101C00020000,2023-10-27 20:12:00+00:00,20.0,1.8,0.0,0.0,0.029999971,1.6949136,510.0,1343.0,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
12,VIXW231101C00021000,2023-10-27 19:51:36+00:00,21.0,1.59,0.0,0.0,0.38,31.404957,839.0,2723.0,1.0000000000000003e-05,True,REGULAR,USD,2023-11-01
13,VIXW231101C00022000,2023-10-27 20:06:25+00:00,22.0,1.05,0.0,0.0,0.25999993,32.911385,526.0,948.0,0.12500875,False,REGULAR,USD,2023-11-01
14,VIXW231101C00023000,2023-10-27 20:04:34+00:00,23.0,0.65,0.0,0.0,0.099999964,18.18181,146.0,1814.0,0.2500075,False,REGULAR,USD,2023-11-01
15,VIXW231101C00024000,2023-10-27 19:59:12+00:00,24.0,0.43,0.0,0.0,-0.17000002,-28.333336,60.0,1524.0,0.2500075,False,REGULAR,USD,2023-11-01
16,VIXW231101C00025000,2023-10-27 20:05:24+00:00,25.0,0.4,0.0,0.0,0.050000012,14.285718,532.0,4942.0,0.500005,False,REGULAR,USD,2023-11-01
17,VIXW231101C00026000,2023-10-27 20:08:41+00:00,26.0,0.27,0.0,0.0,-0.030000001,-10.0,45.0,552.0,0.500005,False,REGULAR,USD,2023-11-01
18,VIXW231101C00027000,2023-10-27 20:07:10+00:00,27.0,0.25,0.0,0.0,0.019999996,8.69565,67.0,301.0,0.500005,False,REGULAR,USD,2023-11-01
19,VIXW231101C00028000,2023-10-27 20:00:20+00:00,28.0,0.2,0.0,0.0,-0.019999996,-9.090907,797.0,354.0,0.500005,False,REGULAR,USD,2023-11-01
20,VIXW231101C00029000,2023-10-26 19:50:11+00:00,29.0,0.18,0.0,0.0,0.0,0.0,155.0,448.0,0.500005,False,REGULAR,USD,2023-11-01
21,VIXW231101C00030000,2023-10-27 20:07:34+00:00,30.0,0.14,0.0,0.0,0.020000003,16.66667,1778.0,4476.0,0.500005,False,REGULAR,USD,2023-11-01
22,VIXW231101C00031000,2023-10-27 19:47:31+00:00,31.0,0.13,0.0,0.0,0.019999996,18.181814,15.0,288.0,0.500005,False,REGULAR,USD,2023-11-01
23,VIXW231101C00032000,2023-10-27 20:14:50+00:00,32.0,0.09,0.0,0.0,0.010000005,12.500008,149.0,399.0,0.500005,False,REGULAR,USD,2023-11-01
24,VIXW231101C00033000,2023-10-27 19:44:28+00:00,33.0,0.1,0.0,0.0,0.009999998,11.111108,107.0,1273.0,0.500005,False,REGULAR,USD,2023-11-01
25,VIXW231101C00034000,2023-10-27 19:51:45+00:00,34.0,0.09,0.0,0.0,0.0,0.0,204.0,1666.0,0.500005,False,REGULAR,USD,2023-11-01
26,VIXW231101C00035000,2023-10-27 19:38:27+00:00,35.0,0.07,0.0,0.0,0.0,0.0,242.0,553.0,0.500005,False,REGULAR,USD,2023-11-01
27,VIXW231101C00036000,2023-10-27 17:57:09+00:00,36.0,0.07,0.0,0.0,-0.030000001,-30.000002,30.0,12.0,0.500005,False,REGULAR,USD,2023-11-01
28,VIXW231101C00037000,2023-10-27 18:04:26+00:00,37.0,0.08,0.0,0.0,-0.10000001,-55.555557,2.0,77.0,0.500005,False,REGULAR,USD,2023-11-01
29,VIXW231101C00038000,2023-10-27 18:06:33+00:00,38.0,0.08,0.0,0.0,0.009999998,14.285712,46.0,61.0,0.500005,False,REGULAR,USD,2023-11-01
30,VIXW231101C00039000,2023-10-27 18:08:27+00:00,39.0,0.08,0.0,0.0,-0.060000002,-42.857143,2.0,15.0,0.500005,False,REGULAR,USD,2023-11-01
31,VIXW231101C00040000,2023-10-27 18:09:11+00:00,40.0,0.07,0.0,0.0,0.02,39.999996,319.0,1139.0,0.500005,False,REGULAR,USD,2023-11-01
32,VIXW231101C00042500,2023-10-27 17:18:31+00:00,42.5,0.03,0.0,0.0,-0.08,-72.72727,25.0,78.0,0.500005,False,REGULAR,USD,2023-11-01
33,VIXW231101C00045000,2023-10-27 17:56:55+00:00,45.0,0.03,0.0,0.0,-0.01,-25.0,28.0,7839.0,0.500005,False,REGULAR,USD,2023-11-01
34,VIXW231101C00047500,2023-10-27 19:58:54+00:00,47.5,0.02,0.0,0.0,-0.02,-50.0,20.0,464.0,0.500005,False,REGULAR,USD,2023-11-01
35,VIXW231101C00050000,2023-10-27 17:56:54+00:00,50.0,0.02,0.0,0.0,-0.030000001,-60.000004,9.0,283.0,0.500005,False,REGULAR,USD,2023-11-01
36,VIXW231101C00055000,2023-10-27 17:56:48+00:00,55.0,0.03,0.0,0.0,0.01,50.0,126.0,146.0,0.500005,False,REGULAR,USD,2023-11-01
