,Symbol,Company Name,Last Price,Change,% Change,Volume,Weight,Price
89,VRTX,Vertex Pharmaceuticals Inc,,1.44,(0.41%),,0.238739,351.3
90,ZTS,Zoetis Inc,,0.13,(0.07%),,0.233768,190.96
91,AMT,American Tower Corp,,-3.83,(-2.05%),,0.23231,183.28
92,C,Citigroup Inc,,0.04,(0.08%),,0.231018,44.61
93,ETN,Eaton Corp Plc,,-10.9,(-4.97%),,0.230632,207.5
94,CI,The Cigna Group,,5.03,(1.74%),,0.22877,294.54
95,REGN,Regeneron Pharmaceuticals,,-3.44,(-0.43%),,0.227881,803.51
96,SLB,Schlumberger Ltd,,0.03,(0.05%),,0.223691,59.68
97,CB,Chubb Ltd,,4.23,(2.10%),,0.223309,206.0
98,TMUS,T Mobile Us Inc,,0.08,(0.06%),,0.212306,138.42
99,BDX,Becton Dickinson and Co,,-0.86,(-0.30%),,0.210242,281.45
100,MO,Altria Group Inc,,0.09,(0.19%),,0.209596,43.82
101,FI,Fiserv Inc,,-4.09,(-3.26%),,0.208184,121.5
102,EOG,Eog Resources Inc,,-0.77,(-0.58%),,0.205422,131.56
103,SO,Southern Co,,-0.1,(-0.14%),,0.201671,69.4
104,PGR,Progressive Corp,,-7.32,(-5.73%),,0.196971,120.52
105,CME,Cme Group Inc,,-1.16,(-0.56%),,0.19662,204.62
106,BSX,Boston Scientific Corp,,0.26,(0.50%),,0.195695,51.29
107,EQIX,Equinix Inc,,0.35,(0.04%),,0.193758,774.52
108,DUK,Duke Energy Corp,,-0.62,(-0.66%),,0.190968,93.2
109,MU,Micron Technology Inc,,0.29,(0.45%),,0.190888,64.66
110,PYPL,Paypal Holdings Inc,,0.41,(0.67%),,0.187491,61.95
111,KLAC,Kla Corp,,3.63,(0.76%),,0.18215,482.61
112,ITW,Illinois Tool Works,,-0.18,(-0.08%),,0.179392,237.25
113,SNPS,Synopsys Inc,,2.31,(0.54%),,0.175772,430.77
114,ATVI,Activision Blizzard Inc,,0.13,(0.14%),,0.174052,91.34
115,AON,Aon Plc Class A,,-3.16,(-0.99%),,0.174008,317.64
116,PANW,Palo Alto Networks Inc,,1.43,(0.66%),,0.173356,219.39
117,SHW,Sherwin Williams Co,,-0.02,(-0.01%),,0.171981,273.7
118,ICE,Intercontinental Exchange In,,-0.09,(-0.08%),,0.171503,113.9
119,CL,Colgate Palmolive Co,,0.0,(0.00%),,0.170298,76.9
120,APD,Air Products & Chemicals Inc,,28.49,(9.86%),,0.169491,317.28
121,CSX,Csx Corp,,0.23,(0.73%),,0.168241,30.98
122,NOC,Northrop Grumman Corp,,0.45,(0.10%),,0.165442,431.5
123,FDX,Fedex Corp,,-0.21,(-0.08%),,0.165429,265.56
124,CDNS,Cadence Design Sys Inc,,1.32,(0.58%),,0.165424,227.39
125,HUM,Humana Inc,,-0.21,(-0.04%),,0.165343,493.7
126,MPC,Marathon Petroleum Corp,,0.14,(0.10%),,0.164969,149.89
127,FCX,Freeport Mcmoran Inc,,0.19,(0.45%),,0.161929,41.61
128,TGT,Target Corp,,0.29,(0.22%),,0.160819,131.34
129,WM,Waste Management Inc,,0.12,(0.07%),,0.158619,161.06
130,MCK,Mckesson Corp,,0.68,(0.15%),,0.157431,440.74
131,MMM,3m Co W/d,,-0.07,(-0.07%),,0.153265,104.48
132,ORLY,O Reilly Automotive Inc,,21.5,(2.28%),,0.152589,965.06
133,HCA,Hca Healthcare Inc,,2.22,(0.82%),,0.148009,271.8
134,PXD,Pioneer Natural Resources Co,,-0.11,(-0.05%),,0.147572,236.65
135,USB,Us Bancorp,,-0.16,(-0.40%),,0.147074,39.3
136,NXPI,Nxp Semiconductors Nv,,0.85,(0.42%),,0.146592,205.05
137,EMR,Emerson Electric Co,,2.76,(2.88%),,0.145875,98.5
138,MAR,Marriott International Cl A,,-4.51,(-2.16%),,0.143809,204.0
139,MCO,Moody S Corp,,0.35,(0.10%),,0.142375,337.05
140,PH,Parker Hannifin Corp,,8.7,(2.09%),,0.141503,425.21
141,PSX,Phillips 66,,0.33,(0.28%),,0.140824,116.97
142,APH,Amphenol Corp Cl A,,3.66,(4.20%),,0.139626,90.87
143,ROP,Roper Technologies Inc,,-2.15,(-0.44%),,0.138141,486.96
144,PNC,Pnc Financial Services Group,,5.06,(3.89%),,0.137853,135.0
145,CMG,Chipotle Mexican Grill Inc,,15.88,(0.86%),,0.136159,1862.43
146,GD,General Dynamics Corp,,-0.13,(-0.06%),,0.135744,226.86
147,NSC,Norfolk Southern Corp,,0.34,(0.16%),,0.132437,216.25
148,VLO,Valero Energy Corp,,0.11,(0.08%),,0.130484,139.17
149,F,Ford Motor Co,,-0.02,(-0.12%),,0.127697,12.13
150,AJG,Arthur J Gallagher & Co,,3.57,(1.59%),,0.127642,227.94
151,GM,General Motors Co,,0.14,(0.41%),,0.127347,34.03
152,EW,Edwards Lifesciences Corp,,0.05,(0.06%),,0.127002,79.46
153,MSI,Motorola Solutions Inc,,8.55,(2.99%),,0.126053,294.51
154,ADM,Archer Daniels Midland Co,,-0.16,(-0.19%),,0.125923,84.66
155,TT,Trane Technologies Plc,,0.08,(0.04%),,0.124197,203.24
156,CARR,Carrier Global Corp,,-0.07,(-0.13%),,0.124007,55.47
157,OXY,Occidental Petroleum Corp,,0.08,(0.12%),,0.123658,65.92
158,ECL,Ecolab Inc,,1.03,(0.56%),,0.122553,185.39
159,MCHP,Microchip Technology Inc,,1.54,(1.88%),,0.122008,83.31
160,TDG,Transdigm Group Inc,,-3.29,(-0.38%),,0.121707,869.99
161,AZO,Autozone Inc,,5.7,(0.23%),,0.121299,2489.53
162,CCI,Crown Castle Inc,,4.09,(3.92%),,0.120988,108.5
163,PSA,Public Storage,,-0.69,(-0.24%),,0.120295,286.23
164,ADSK,Autodesk Inc,,-0.91,(-0.44%),,0.120098,207.05
165,SRE,Sempra,,0.07,(0.05%),,0.119974,144.42
166,CHTR,Charter Communications Inc A,,-1.65,(-0.39%),,0.119041,426.29
167,PCAR,Paccar Inc,,1.09,(1.27%),,0.119021,86.91
168,MNST,Monster Beverage Corp,,0.53,(0.91%),,0.11811,58.71
169,AIG,American International Group,,0.12,(0.20%),,0.117034,60.65
170,DXCM,Dexcom Inc,,0.31,(0.28%),,0.116769,112.0
171,MSCI,Msci Inc,,-4.39,(-0.80%),,0.116748,544.6
172,ANET,Arista Networks Inc,,0.32,(0.18%),,0.116641,175.26
173,STZ,Constellation Brands Inc A,,6.96,(2.60%),,0.116328,274.64
174,HES,Hess Corp,,-0.08,(-0.05%),,0.116127,157.6
175,KMB,Kimberly Clark Corp,,1.34,(1.04%),,0.115283,129.3
176,TEL,Te Connectivity Ltd,,0.04,(0.03%),,0.114822,133.08
177,GIS,General Mills Inc,,0.43,(0.59%),,0.114051,73.1
178,WMB,Williams Cos Inc,,0.07,(0.19%),,0.113628,35.45
179,CTAS,Cintas Corp,,-0.01,(-0.00%),,0.11317,490.0
180,WELL,Welltower Inc,,-0.16,(-0.19%),,0.113,84.1
181,COF,Capital One Financial Corp,,-0.18,(-0.16%),,0.112852,110.2
182,ON,On Semiconductor,,0.27,(0.28%),,0.112594,94.84
183,NUE,Nucor Corp,,1.13,(0.68%),,0.112441,167.65
184,IDXX,Idexx Laboratories Inc,,4.2,(0.83%),,0.112375,509.71
185,TFC,Truist Financial Corp,,-0.24,(-0.76%),,0.111437,31.49
186,AFL,Aflac Inc,,0.13,(0.17%),,0.111412,76.58
187,AEP,American Electric Power,,-0.8,(-0.99%),,0.111191,80.31
188,D,Dominion Energy Inc,,0.28,(0.55%),,0.111107,49.87
189,HLT,Hilton Worldwide Holdings In,,-2.19,(-1.41%),,0.11067,152.66
190,IQV,Iqvia Holdings Inc,,0.06,(0.03%),,0.109967,219.9
191,JCI,Johnson Controls Internation,,0.51,(0.86%),,0.109277,59.9
192,MET,Metlife Inc,,-0.19,(-0.30%),,0.107879,63.46
193,EXC,Exelon Corp,,-0.59,(-1.44%),,0.106762,39.93
194,PAYX,Paychex Inc,,-1.47,(-1.17%),,0.106412,124.02
195,O,Realty Income Corp,,0.06,(0.10%),,0.105929,58.68
196,EL,Estee Lauder Companies Cl A,,1.12,(0.67%),,0.105243,168.75
197,DOW,Dow Inc,,0.24,(0.43%),,0.105145,55.69
198,ROST,Ross Stores Inc,,-0.39,(-0.35%),,0.104803,113.0
199,FTNT,Fortinet Inc,,0.23,(0.39%),,0.104799,59.91
200,SPG,Simon Property Group Inc,,1.4,(1.18%),,0.103876,120.27
201,BIIB,Biogen Inc,,-5.25,(-1.92%),,0.103714,268.43
202,TRV,Travelers Cos Inc,,6.42,(3.84%),,0.103138,173.28
203,DHI,Dr Horton Inc,,1.48,(1.21%),,0.103102,124.49
204,YUM,Yum Brands Inc,,0.76,(0.57%),,0.100989,134.96
205,A,Agilent Technologies Inc,,-3.64,(-2.87%),,0.100842,123.23
206,CTVA,Corteva Inc,,-0.01,(-0.02%),,0.099683,52.4
207,CPRT,Copart Inc,,-0.58,(-0.66%),,0.099516,87.27
208,ODFL,Old Dominion Freight Line,,0.44,(0.11%),,0.098152,411.22
209,OTIS,Otis Worldwide Corp,,-3.63,(-4.16%),,0.097974,83.78
210,DG,Dollar General Corp,,-0.35,(-0.21%),,0.097973,164.5
211,HAL,Halliburton Co,,-0.08,(-0.19%),,0.097807,40.62
212,SYY,Sysco Corp,,0.31,(0.44%),,0.097651,72.27
213,AME,Ametek Inc,,0.04,(0.03%),,0.097564,158.26
214,CNC,Centene Corp,,-0.11,(-0.17%),,0.096795,65.65
215,CTSH,Cognizant Tech Solutions A,,0.62,(0.88%),,0.096694,70.7
216,AMP,Ameriprise Financial Inc,,-2.56,(-0.74%),,0.096433,341.87
217,LHX,L3harris Technologies Inc,,-4.74,(-2.52%),,0.094779,183.21
218,BKR,Baker Hughes Co,,0.0,(0.00%),,0.094437,35.48
219,DLR,Digital Realty Trust Inc,,2.67,(2.22%),,0.094163,123.0
220,DD,Dupont De Nemours Inc,,0.4,(0.53%),,0.093247,76.72
